Sequence,Endereco,Contato,Observacoes,Responsavel,Latitude,Longitude
0,"R. Basílio da Gama, 56 - Jardim Limoeiro, Serra - ES, 29164-355, Brasil",Cariacica,ES,Brazil,-20.2065396,-40.2533612
1,"Tv. Afonso Schwab, 843 - Nova Esperança, Cariacica - ES, 29157-552, Brasil",Cariacica,ES,Brazil,-20.265806,-40.3960047
2,"R. Silvano Ferreira Santos, 15 - Porto Novo, Cariacica - ES, 29153-350, Brasil",Cariacica,ES,Brazil,-20.2985518,-40.371506
3,"R. Sorocaba, 228 - Marcílio de Noronha, Viana - ES, 29135-372, Brasil",Cariacica,ES,Brazil,-20.3464958,-40.4273237
4,"Rod. Campos-Vitória, 1211 - Universal, Viana - ES, 29135-000, Brasil",Cariacica,ES,Brazil,-20.3667702,-40.4460424
5,"R. Seis, 45 - Arlindo Villaschi, Viana - ES, 29136-176, Brasil",Cariacica,ES,Brazil,-20.365642,-40.4233047
6,"R. São João, 124 - Itacibá, Cariacica - ES, 29150-230, Brasil",Cariacica,ES,Brazil,-20.3226901,-40.37824
7,"R. São João, 877 - Santo André, Cariacica - ES, 29145-838, Brasil",Cariacica,ES,Brazil,-20.347591,-40.3991147
8,"R. Treze, 1434 - Mucuri, Cariacica - ES, 29147-620, Brasil",Cariacica,ES,Brazil,-20.3337721,-40.403558
9,"R. Leopoldina, 37 - Cruzeiro do Sul, Cariacica - ES, 29144-080, Brasil",Cariacica,ES,Brazil,-20.34455,-40.3931427
10,"R. Luiza Cazoti, 3 - Vila Bethania, Viana - ES, 29135-000, Brasil",Cariacica,ES,Brazil,-20.3562189,-40.4105907
11,"R. Manoel Joaquim dos Santos, 10 - Itacibá, Cariacica - ES, 29150-270, Brasil",Cariacica,ES,Brazil,-20.3217713,-40.3797909
12,"R. Manoel Joaquim dos Santos, 22 - Itacibá, Cariacica - ES, 29150-270, Brasil",Cariacica,ES,Brazil,-20.3222982,-40.3785371
13,"R. Manoel Joaquim dos Santos, 41 - Itacibá, Cariacica - ES, 29150-270, Brasil",Cariacica,ES,Brazil,-20.3219843,-40.3794632
14,"R. Manoel Joaquim dos Santos, 53 - Itacibá, Cariacica - ES, 29150-270, Brasil",Cariacica,ES,Brazil,-20.3226893,-40.3776024
